lookback,buy_threshold,sell_threshold,min_deal_amount,n_positions,total_return,annual_return,max_drawdown,sharpe,index_return,index_annual,index_max_dd,excess_total,excess_annual,total_trades,wins,losses,win_rate,avg_return,avg_hold,avg_win,avg_loss,profit_factor
30,0.85,0.2,30000000.0,3,162.10682312115367,167.31215099769682,-17.586961994576257,2.752257928642529,14.67327530343101,14.994145826285887,-10.49157517012994,147.43354781772265,152.31800517141093,57,40,17,70.17543859649122,5.427108478984146,12.052631578947368,10.144869876962252,-5.673506575081991,1.7881128262930837
30,0.85,0.2,50000000.0,3,162.10682312115367,167.31215099769682,-17.586961994576257,2.752257928642529,14.67327530343101,14.994145826285887,-10.49157517012994,147.43354781772265,152.31800517141093,57,40,17,70.17543859649122,5.427108478984146,12.052631578947368,10.144869876962252,-5.673506575081991,1.7881128262930837
30,0.85,0.25,10000000.0,2,187.50184488243212,193.76540409342184,-21.03858992115816,2.664868023413812,14.67327530343101,14.994145826285887,-10.49157517012994,172.8285695790011,178.77125826713595,46,33,13,71.73913043478261,4.915535955836338,9.956521739130435,8.570190788832749,-4.361664774077631,1.9648898374233958
30,0.85,0.25,30000000.0,2,187.50184488243212,193.76540409342184,-21.03858992115816,2.664868023413812,14.67327530343101,14.994145826285887,-10.49157517012994,172.8285695790011,178.77125826713595,46,33,13,71.73913043478261,4.915535955836338,9.956521739130435,8.570190788832749,-4.361664774077631,1.9648898374233958
30,0.85,0.25,100000000.0,2,187.50184488243212,193.76540409342184,-21.03858992115816,2.664868023413812,14.67327530343101,14.994145826285887,-10.49157517012994,172.8285695790011,178.77125826713595,46,33,13,71.73913043478261,4.915535955836338,9.956521739130435,8.570190788832749,-4.361664774077631,1.9648898374233958
30,0.85,0.25,50000000.0,2,187.50184488243212,193.76540409342184,-21.03858992115816,2.664868023413812,14.67327530343101,14.994145826285887,-10.49157517012994,172.8285695790011,178.77125826713595,46,33,13,71.73913043478261,4.915535955836338,9.956521739130435,8.570190788832749,-4.361664774077631,1.9648898374233958
30,0.75,0.2,30000000.0,3,149.94514635004316,154.66190729760032,-17.586961994576257,2.6081361014154605,14.67327530343101,14.994145826285887,-10.49157517012994,135.27187104661215,139.66776147131444,56,40,16,71.42857142857143,5.25247927447408,12.267857142857142,10.144869876962252,-6.9784972317463545,1.4537327364423873
30,0.75,0.2,100000000.0,3,149.94514635004316,154.66190729760032,-17.586961994576257,2.6081361014154605,14.67327530343101,14.994145826285887,-10.49157517012994,135.27187104661215,139.66776147131444,56,40,16,71.42857142857143,5.25247927447408,12.267857142857142,10.144869876962252,-6.9784972317463545,1.4537327364423873
30,0.8,0.2,30000000.0,3,149.94514635004316,154.66190729760032,-17.586961994576257,2.6081361014154605,14.67327530343101,14.994145826285887,-10.49157517012994,135.27187104661215,139.66776147131444,56,40,16,71.42857142857143,5.25247927447408,12.267857142857142,10.144869876962252,-6.9784972317463545,1.4537327364423873
30,0.8,0.2,50000000.0,3,149.94514635004316,154.66190729760032,-17.586961994576257,2.6081361014154605,14.67327530343101,14.994145826285887,-10.49157517012994,135.27187104661215,139.66776147131444,56,40,16,71.42857142857143,5.25247927447408,12.267857142857142,10.144869876962252,-6.9784972317463545,1.4537327364423873
