doc_id,level1,level2,level3,level4,api_name,url,doc_path,hierarchy_path
371,股票数据,资金流向数据,板块资金流向（THS),,moneyflow_cnt_ths,https://tushare.pro/document/2?doc_id=371,F:\projects\my-stock\tushare_docs\document\2\doc_id-371.md,F:\projects\my-stock\tushare_docs\股票数据\资金流向数据\板块资金流向_THS.md
47,股票数据,资金流向数据,沪深港通资金流向,,moneyflow_hsgt,https://tushare.pro/document/2?doc_id=47,F:\projects\my-stock\tushare_docs\document\2\doc_id-47.md,F:\projects\my-stock\tushare_docs\股票数据\资金流向数据\沪深港通资金流向.md
343,股票数据,资金流向数据,行业资金流向（THS）,,moneyflow_ind_ths,https://tushare.pro/document/2?doc_id=343,F:\projects\my-stock\tushare_docs\document\2\doc_id-343.md,F:\projects\my-stock\tushare_docs\股票数据\资金流向数据\行业资金流向_THS.md
156,行业经济,TMT行业,全国电影剧本备案数据,,film_record,https://tushare.pro/document/2?doc_id=156,F:\projects\my-stock\tushare_docs\document\2\doc_id-156.md,F:\projects\my-stock\tushare_docs\行业经济\TMT行业\全国电影剧本备案数据.md
180,行业经济,TMT行业,全国电视剧备案公示数据,,teleplay_record,https://tushare.pro/document/2?doc_id=180,F:\projects\my-stock\tushare_docs\document\2\doc_id-180.md,F:\projects\my-stock\tushare_docs\行业经济\TMT行业\全国电视剧备案公示数据.md
88,行业经济,TMT行业,台湾电子产业月营收,,tmt_twincome,https://tushare.pro/document/2?doc_id=88,F:\projects\my-stock\tushare_docs\document\2\doc_id-88.md,F:\projects\my-stock\tushare_docs\行业经济\TMT行业\台湾电子产业月营收.md
87,行业经济,TMT行业,台湾电子产业月营收明细,,tmt_twincomedetail,https://tushare.pro/document/2?doc_id=87,F:\projects\my-stock\tushare_docs\document\2\doc_id-87.md,F:\projects\my-stock\tushare_docs\行业经济\TMT行业\台湾电子产业月营收明细.md
116,行业经济,TMT行业,影院日度票房,,bo_cinema,https://tushare.pro/document/2?doc_id=116,F:\projects\my-stock\tushare_docs\document\2\doc_id-116.md,F:\projects\my-stock\tushare_docs\行业经济\TMT行业\影院日度票房.md
114,行业经济,TMT行业,电影周度票房,,bo_weekly,https://tushare.pro/document/2?doc_id=114,F:\projects\my-stock\tushare_docs\document\2\doc_id-114.md,F:\projects\my-stock\tushare_docs\行业经济\TMT行业\电影周度票房.md
115,行业经济,TMT行业,电影日度票房,,bo_daily,https://tushare.pro/document/2?doc_id=115,F:\projects\my-stock\tushare_docs\document\2\doc_id-115.md,F:\projects\my-stock\tushare_docs\行业经济\TMT行业\电影日度票房.md
113,行业经济,TMT行业,电影月度票房,,bo_monthly,https://tushare.pro/document/2?doc_id=113,F:\projects\my-stock\tushare_docs\document\2\doc_id-113.md,F:\projects\my-stock\tushare_docs\行业经济\TMT行业\电影月度票房.md
265,财富管理,基金销售行业数据,各渠道公募基金销售保有规模占比,,fund_sales_ratio,https://tushare.pro/document/2?doc_id=265,F:\projects\my-stock\tushare_docs\document\2\doc_id-265.md,F:\projects\my-stock\tushare_docs\财富管理\基金销售行业数据\各渠道公募基金销售保有规模占比.md
266,财富管理,基金销售行业数据,销售机构公募基金销售保有规模,,fund_sales_vol,https://tushare.pro/document/2?doc_id=266,F:\projects\my-stock\tushare_docs\document\2\doc_id-266.md,F:\projects\my-stock\tushare_docs\财富管理\基金销售行业数据\销售机构公募基金销售保有规模.md
