factor,quantile,regime,sample_count,avg_1d,med_1d,winrate_1d,count_1d,avg_3d,med_3d,winrate_3d,count_3d,avg_5d,med_5d,winrate_5d,count_5d,avg_10d,med_10d,winrate_10d,count_10d,avg_20d,med_20d,winrate_20d,count_20d
小单净流入,Q1_top,bear,307643,0.005822509743114053,-0.2049180327868827,44.91439753220454,307643,0.09084755773486416,-0.33589251439539725,45.65421608812812,307643,0.30586001995070783,-0.4366812227074357,45.69777306813417,307643,0.6525545648857887,-0.5710029791459847,46.36282964345037,307643,1.5850558770928196,-0.6250000000000033,47.27572958178662,307642
小单净流入,Q2,bear,307459,0.054207539681074175,0.0,47.42323366692795,307459,0.2790565705705703,0.0,49.46643292276369,307459,0.5824911186228816,0.0,49.46480668967244,307459,1.1283708348345882,0.21551724137931494,51.0103786195883,307459,2.3038494330860444,0.6163328197226425,52.454148357992445,307459
小单净流入,Q3,bear,307446,0.06526781555162221,0.0,48.20488801285429,307446,0.2690243450599938,0.0,49.884207307950014,307446,0.5695991197398701,0.0,49.967799223278234,307446,1.1197012445481003,0.32038451273839197,51.72940939221847,307446,2.3292368922047477,0.8064516129032251,53.450687275163766,307446
小单净流入,Q4,bear,307455,0.042872248458870506,0.0,47.34579044087753,307455,0.2150330701232337,0.0,48.35601958010115,307455,0.48576871114641984,0.0,48.799011237416856,307455,0.9668637858375662,0.0,49.889252085671075,307455,2.095919479490892,0.374999999999992,51.33776109596882,307454
小单净流入,Q5_bot,bear,307578,-0.04698964402847664,-0.12422360248449671,46.37165206874354,307578,-0.0015457348340802,-0.31044518716595304,45.95874867513281,307578,0.1234840069171754,-0.43138402739104076,45.82739987905507,307578,0.479245256143523,-0.5899705014749235,46.16324964724395,307578,1.4139795985688186,-0.784704493297006,46.7198564266625,307578
全口径净流入,Q1_top,all,748061,0.032064515608357894,-0.10672358591248265,46.74850781131828,747057,0.1061454196266025,-0.3656307129798808,45.416683444064155,745050,0.1344400272512446,-0.5443234836702948,45.0125295743713,743042,0.2872728667681769,-0.8279668813247487,44.965848225476236,738029,0.7190062132942264,-1.3035381750465591,44.57603767027793,728001
全口径净流入,Q2,all,747603,0.1005664833674482,0.0,48.598247256566765,746601,0.3140111919618968,0.0,48.69170840065163,744597,0.5032954705703776,0.0,48.84108323570207,742590,0.9487609203598669,0.0,49.80429215040016,737579,1.7880332750035521,0.16583747927032544,50.442646947653444,727555
全口径净流入,Q3,all,747605,0.13481667992931853,0.0,49.6403041509343,746603,0.3995525255306916,0.09689922480620172,50.54680585605368,744597,0.6462651175641646,0.1721882813101372,51.09925477447973,742594,1.2134007085779355,0.4398826979472137,52.54931947195524,737589,2.2637740973587426,0.8529854490717526,53.527147178763315,727571
全口径净流入,Q4,all,747587,0.12352077934645843,0.0,49.05918155224329,746584,0.3714507912058036,0.07554534301923432,50.33562545327567,744580,0.6221413178441711,0.16949152542371504,51.08864277865162,742576,1.1753582179028117,0.427578834847675,52.43863252730267,737565,2.1716963319293776,0.7857142857142785,53.21964568709462,727549
全口径净流入,Q5_bot,all,747916,0.022220386815183624,-0.16095037387116595,45.582891738540184,746914,0.10391309642389043,-0.27700831024931594,46.20846304716415,744909,0.2284954308523772,-0.33277870216305017,46.56638466560327,742905,0.5302488117602225,-0.43431053203041303,47.05136979339599,737885,1.1246101458051836,-0.644109253974734,47.10624693451085,727861
全口径净流入,Q1_top,bull,440418,0.07134590192783062,-0.07755695661840756,47.287978990200585,439414,0.14528393901736955,-0.38296568627450567,45.24527499559907,437407,0.12544042390205662,-0.5508262393590369,45.027893954740364,435399,0.1545762504941848,-0.8836524300441795,44.74936452393898,430386,0.2321141695770665,-1.5186472370652682,43.68157618030345,420358
全口径净流入,Q2,bull,440141,0.13029395841329364,0.0,49.40713532617235,439139,0.33434962674433716,0.0,48.69891452297345,437135,0.46863244495433504,0.0,49.09635785332132,435128,0.87070958644813,0.0,49.90758328547813,430117,1.4954059916069875,0.0,49.977028895982556,420093
全口径净流入,Q3,bull,440161,0.16631914712993578,0.07264802034143703,50.6524971593432,439159,0.4510116685005686,0.12113870381587066,50.848329989729,437153,0.6495495914252745,0.22977839921607401,51.691140985866944,435150,1.207539645386553,0.5115859163406622,53.016075974380726,430145,2.1269998852423773,0.847936687394002,53.49131693198264,420128
全口径净流入,Q4,bull,440133,0.16780613856625212,0.0,49.99635643203607,439130,0.46811864591461844,0.13403029325346205,50.9816391612487,437126,0.671836986944713,0.2512562814070307,51.92198969484421,435122,1.235477946046636,0.5410279531109063,53.172785629756035,430111,2.0859086132041247,0.805369127516764,53.30281649908593,420096
